Text,Type
"Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmer’s wife. Their house was small, for the lumber to build it had to be carried by wagon many miles. There were four walls, a floor and a roof, which made one room; and this room contained a rusty looking cookstove, a cupboard for the dishes, a table, three or four chairs, and the beds. Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner. There was no garret at all, and no cellar—except a small hole dug in the ground, called a cyclone cellar, where the family could go in case one of those great whirlwinds arose, mighty enough to crush any building in its path. It was reached by a trap door in the middle of the floor, from which a ladder led down into the small, dark hole.When Dorothy stood in the doorway and looked around, she could see nothing but the great gray prairie on every side. Not a tree nor a house broke the broad sweep of flat country that reached to the edge of the sky in all directions. The sun had baked the plowed land into a gray mass, with little cracks running through it. Even the grass was not green, for the sun had burned the tops of the long blades until they were the same gray color to be seen everywhere. Once the house had been painted, but the sun blistered the paint and the rains washed it away, and now the house was as dull and gray as everything else.When Aunt Em came there to live she was a young, pretty wife. The sun and wind had changed her, too. They had taken the sparkle from her eyes and left them a sober gray; they had taken the red from her cheeks and lips, and they were gray also. She was thin and gaunt, and never smiled now. When Dorothy, who was an orphan, first came to her, Aunt Em had been so startled by the child’s laughter that she would scream and press her hand upon her heart whenever Dorothy’s merry voice reached her ears; and she still looked at the little girl with wonder that she could find anything to laugh at.Uncle Henry never laughed. He worked hard from morning till night and did not know what joy was. He was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke.It was Toto that made Dorothy laugh, and saved her from growing as gray as her other surroundings. Toto was not gray; he was a little black dog, with long silky hair and small black eyes that twinkled merrily on either side of his funny, wee nose. Toto played all day long, and Dorothy played with him, and loved him dearly.Today, however, they were not playing. Uncle Henry sat upon the doorstep and looked anxiously at the sky, which was even grayer than usual. Dorothy stood in the door with Toto in her arms, and looked at the sky too. Aunt Em was washing the dishes. ",Read-Aloud Story
"When I went to town yesterday with the furs I found it hard walking in the soft snow. It took me a long time to get to town, and other men with furs had come in earlier to do their trading. The storekeeper was busy, and I had to wait until he could look at my furs.Then we had to bargain about the price of each one, and then I had to pick out the things I wanted to take in trade.So it was nearly sundown before I could start home.I tried to hurry, but the walking was hard and I was tired, so I had not gone far before night came. And I was alone in the Big Woods without my gun.There were still six miles to walk, and I came along as fast as I could. The night grew darker and darker, and I wished for my gun, because I knew that some of the bears had come out of their winter dens. I had seen their tracks when I went to town in the morning.Bears are hungry and cross at this time of year; you know they have been sleeping in their dens all winter long with nothing to eat, and that makes them thin and angry when they wake up. I did not want to meet one.I hurried along as quick as I could in the dark. By and by the stars gave a little light. It was still black as pitch where the woods were thick, but in the open places I could see, dimly. I could see the snowy road ahead a little way, and I could see the dark woods standing all around me. I was glad when I came into an open place where the stars gave me this faint light.All the time I was watching, as well as I could, for bears. I was listening for the sounds they make when they go carelessly through the bushes.Then I came again into an open place, and there, right in the middle of my road, I saw a big black bear.",Read-Aloud Story
"It was an afternoon in late September. In the pleasant little city of Stillwater, Mr. Popper, the house painter was going home from work.He was carrying his buckets, his ladders, and his boards so that he had rather a hard time moving along. He was spattered here and there with paint and calcimine, and there were bits of wallpaper clinging to his hair and whiskers, for he was rather an untidy man.The children looked up from their play to smile at him as he passed, and the housewives, seeing him, said, “Oh dear, there goes Mr. Popper. I must remember to ask John to have the house painted over in the spring.”No one knew what went on inside of Mr.Popper’s head, and no one guessed that he would one day be the most famous person in Stillwater.He was a dreamer. Even when he was busiest smoothing down the paste on the wallpaper, or painting the outside of other people’s houses, he would forget what he was doing. Once he had painted three sides of a kitchen green, and the other side yellow. The housewife, instead of being angry and making him do it over, had liked it so well that she had made him leave it that way. And all the other housewives, when they saw it, admired it too, so that pretty soon everybody in Stillwater had two-colored kitchens.The reason Mr. Popper was so absent-minded was that he was always dreaming about far-away countries. He had never been out of Stillwater. Not that he was unhappy. He had a nice little house of his own, a wife whom he loved dearly, and two children, named Janie and Bill. Still, it would have been nice, he often thought, if he could have seen something of the world before he met Mrs. Popper and settled down. He had never hunted tigers in India, or climbed the peaks of the Himalayas, or dived for pearls in the South Seas. Above all, he had never seen the Poles.",Read-Aloud Story
"One grey morning the first snow began to fall in the Valley of the Moomins. It fell softly and quietly, and in a few hours everything was white.Moomintroll stood on his doorstep and watched the valley nestle beneath its winter blanket. “Tonight,” he thought, “we shall settle down for our long winter’s sleep.” (All Moomintrolls go to sleep about November. This is a good idea, too if you don’t like the cold and the long winter darkness.) Shutting the door behind him, Moomintroll stole in to his mother and said:“The snow has come!”“I know,” said Moominmamma. “I have already made up all your beds with the warmest blankets. You’re to sleep in the little room under the eaves with Sniff.”“But Sniff snores so horribly,” said Moomintroll. “Couldn’t I sleep with Snufkin instead?”“As you like, dear,” said Moominmamma. “Sniff can sleep in the room that faces east.”So the Moomin family, their friends, and all their acquaintances began solemnly and with great ceremony to prepare for the long winter. Moominmamma laid the table for them on the verandah but they only had pine-needles for supper. (It’s important to have your tummy full of pine if you intend to sleep all the winter.) When the meal was over, and I’m afraid it didn’t taste very nice, they all said good-night to each other, rather more cheerfully than usual, and Moominmamma encouraged them to clean their teeth.",Read-Aloud Story
"Once, oh small children round my knee, there were no stories on earth to hear. All the stories belonged to Nyame, the Sky God. He kept them in a golden box next to his royal stool.Ananse, the Spider Man, wanted to buy the Sky God’s stories. So he spun a web up to the sky.When the Sky God heard what Ananse wanted, he laughed: “Twe, twe, twe. The price of my stories is that you bring me Osebo the leopard of-the-terrible-teeth, Mmboro the hornet who-stings-like-fire, and Mmoatia the fairy whommen-never-see.”Ananse bowed and answered: “I shall gladly pay the price.”“Twe, twe, twe,” chuckled the Sky God. “How can a weak old man like you, so small, so small, so small, pay my price?”But Ananse merely climbed down to earth to find the things that the Sky God demanded.Ananse ran along the jungle path – yiridi, yiridi, yiridi – till he came to Osebo the leopard-of-the-terrible-teeth.“Oho, Ananse,” said the leopard, “you are just in time to be my lunch.”Ananse replied: “As for that, what will happen will happen. But first let us play the binding binding game.”The leopard, who was fond of games, asked: “How is it played?”“With vine creepers,” explained Ananse. “I will bind you by your foot and foot. Then I will untie you, and you can tieme up.”“Very well,” growled the leopard, who planned to eat Ananse as soon as it was his turn to bind him.So Ananse tied the leopardby his footby his footby his footby his foot, with the vine creeper.Then he said: “Now, Osebo, you are ready to meet the Sky God.” And he hung the tied leopard in a tree in the jungle.",Read-Aloud Story
"A man once owned a restaurant on a busy road. He loved to cook good food and he loved to serve it. He worked from morning until night, and he was happy.But a new highway was built close by. Travelers drove straight from one place to another and no longer stopped at the restaurant. Many days went by when no guests came at all. The man became very poor, and had nothing to do but dust and polish his empty plates and tables.One evening a stranger came into the restaurant. His clothes were old and worn, but he had an unusual, gentle manner.Though he said he had not money to pay for food, the owner invited him to sit down. He cooked the best meal he could make and served him like a king. When the stranger had finished, he said to his host, “I cannot pay you with money, but I would like to thank you in my own way.”He picked up a paper napkin from the table and folded it into the shape of a crane. “You have only to clap your hands,” he said, “and this bird will come to life and dance for you. Take it, and enjoy it while it is with you.” With these words the stranger left.It happened just as the stranger had said. The owner had only to clap his hands and the paper crane became a living bird, flew down to the floor, and danced.Soon word of the dancing crane spread, and people came from far and near to see the magic bird perform.The owner was happy again, for his restaurant was always full of guests. He cooked and served and had company from morning until night.The weeks passed. And the months.One evening a man came into the restaurant. His clothes were old and worn, but had an unusual, gentle manner. The owner knew him at once and was overjoyed.The stranger, however, said nothing. He took a flute from his pocket, raised it to his lips, and began to play.The crane flew down from its place on the shelf and danced as it had never danced before.The stranger finished playing, lowered the flute from his lips, and returned it to his pocket. He climbed on the back of the crane, and they flew out of the door and away.The restaurant still stands by the side of the road, and guests still come to eat the good food and hear the story of the gentle stranger and the magic crane made from a paper napkin. But neither the stranger nor the dancing crane has ever been seen again.",Read-Aloud Story
"“Po Po,” Shang shouted, but there was no answer.“Po Po,” Tao shouted, but there was no answer.“Po Po,” Paotze shouted. There was still no answer. The children climbed to the branches just above the wolf and saw that he was truly dead. Then they climbed down, went into the house, closed the door, locked the door with the latch and fell peacefully asleep.On the next day their mother returned with baskets of food from their real Po Po, and the three sisters told her the story of the Po Po who had come.",Read-Aloud Story
"My friends and I once went to a very big fair across the border in Reynosa, Mexico. The fair lasted a whole week.Artisans and entertainers came from all over Mexico. There were lots of booths with food and crafts. This is one little section where everybody is ordering and eating tacos.I painted a father buying tacos and the rest of the family sitting down at the table. The little girl is the father’s favorite and that’s why she gets to tag along with him. I can always recognize little girls who are their fathers’ favorites.",Read-Aloud Story
"That’s me hitting the piñata at my sixth birthday party. It was also my brother’s fourth birthday. My mother made a big birthday party for us and invited all kinds of friends, cousins and neighborhood kids.You can’t see the piñata when you’re trying to hit it, because your eyes are covered with a handkerchief. My father is pulling the rope that makes the piñata go up and down. He will make sure that everybody has a chance to hit it at least once. Somebody will end up breaking it, and that’s when all the candies will fall out and all the kids will run and try to grab them.",Read-Aloud Story
"When they got hot, they sat under a tree with Papá Grande. “Tell us the story about the man in the forest,” said Tomás.Tomás liked to listen to Papá Grande tell stories in Spanish. Papá Grande was the best storyteller in the family.“En un tiempo pasado,” Papá Grande began. “Once upon a time…on a windy night a man was riding a horse through a forest. The wind was howling, whoooooooo, and the leaves were blowing, whish, whish…“All of a sudden something grabbed the man. He couldn’t move. He was too scared to look around. All night long he wanted to ride away. But he couldn’t.“How the wind howled, whoooooooo. How the leaves blew. How his teeth chattered!“Finally the sun came up. Slowly the man turned around. And who do you think was holding him?Tomás smiled and said, “A thorny tree.”Papá Grande laughed. “Tomás, you know all my stories,” he said. “There are many more in the library. You are big enough to go by yourself. Then you can teach us new stories.”The next morning Tomás walked downtown. He looked at the big library. Its tall windows were like eyes glaring at him.Tomás walked all around the big building. He saw children coming out carrying books. Slowly he started climbing up, up the steps. He counted them to himself in Spanish. Uno, dos, tres, cuatro…His mouth felt full of cotton.Tomás stood in front of the library doors. He pressed his nose against the glass and peeked in. The library was huge!",Read-Aloud Story
"It was Kitten’s first full moon.When she saw it, she thought.There’s a little bowl of milk in the sky.And she wanted it.So she closed her eyes and stretched her neck and opened her mouth and licked.But Kitten only ended up with a bug on her tongue.Poor Kitten!Still, there was the little bowl of milk, just waiting.So she pulled herself together and wiggled her bottom and sprang from the top step of the porch.But Kitten only tumbled—bumping her nose and banging her ear and pinching her tail.Poor Kitten!Still, there was the little bowl of milk, just waiting.So she chased it—down the sidewalk, through the garden, past the field, and by the pond.But Kitten never seemed to get closer.Poor Kitten!Still, there was the little bowl of milk, just waiting.So she ran to the tallest tree she could find, and she climbed and climbed and climbed to the very top.But Kitten still couldn’t reach the bowl of milk, and now she was scared.Poor Kitten!What could she do?Then, in the pond, Kitten saw another bowl of milk.And it was bigger.What a night!So she raced down the tree and raced through the grass and raced to the edge of the pond.She leaped with all her might—Poor Kitten!She was wet and sad and tired and hungry.So she went back home—and there was a great big bowl of milk on the porch, just waiting for her.Lucky Kitten!",Read-Aloud Story
"A fox jumped out one winter’s night,And begged the moon to give him light.For he’d many miles to trot that nightBefore he reached his den O!Den O! Den O!For he’d many miles to trot that night before he reached his den O!The first place he came to was a farmer’s yard,Where the ducks and the geese declared it hardThat their nerves should be shaken and their rest so marredBy a visit from Mr. Fox O!Fox O! Fox O!That their nerves should be shaken and their rest so marredBy a visit from Mr. Fox O!He took the grey goose by the neck,And swung him right across his back;The grey goose cried out, Quack, quack, quack,With his legs hanging dangling down O!Down O! Down O!The grey goose cried out, Quack, quack, quack,With his legs hanging dangling down O!Old Mother Slipper Slopper jumped out of bed,And out of the window she popped her head:Oh, John, John, the grey goose is gone,And the fox is off to his den O!Den O! Den O!Oh, John, John, the grey goose is gone,And the fox is off to his den O!John ran up to the top of the hill.And blew his whistle loud and shrill;Said the fox, That is very pretty music still –I’d rather be in my den O!Den O! Den O!Said the fox, That is very pretty music still –I’d rather be in my den O!The fox went back to his hungry den,And his dear little foxes, eight, nine, ten;Quoth they, Good daddy, you must go there again,If you bring such god cheer from the farm O!Farm O! Farm O!Quoth they, Good daddy, you must go there again,If you bring such god cheer from the farm O!The fox and his wife, without any strife,Said they never ate a better goose in all their life:They did very well without fork or knife,And the little ones chewed on the bones O!Bones O! Bones O!They did very well without fork or knife,And the little ones chewed on the bones O!",Read-Aloud Poetry
"Over in the meadow in a new little hiveLived an old mother queen bee and her honeybees five.“Hum,” said the mother,“We hum,” said the five;So they hummed and were glad in their new little hive.Over in the meadow in a dam built of sticksLived an old mother beaver and her little beavers six.“Build,” said the mother,“We build,” said the six;So they built and were glad in the dam built of sticks.Over in the meadow in the green wet bogsLived an old mother froggie and her seven polliwogs.“Swim,” said the mother.“We swim,” said the ‘wogs;So they swam and were glad in the green wet bogs.Over in the meadow as the day grew lateLived an old mother owl and her little owls eight.“Wink,” said the mother,“We wink,” said the eight;So they winked and were glad as the day grew late.",Read-Aloud Poetry
"The Owl and the Pussy-cat went to sea In a beautiful pea-green boat,They took some honey, and plenty of money, Wrapped up in a five-pound note.The Owl looked up to the stars above, And sang to a small guitar,‘O lovely Pussy! O Pussy, my love, What a beautiful Pussy you are,You are,You are! What a beautiful Pussy are!’Pussy said to the Owl, ‘You elegant fowl! How charmingly sweet you sing!O let us be married! Too long we have tarried: But what shall we do for a ring?’They sailed away, for a year and a day, To the land where the Bong-tree growsAnd there in a wood a Piggy-wig stood With a ring at the end of his nose,His nose,His nose, With a ring at the end of his nose. ‘Dear Pig, are you willing to sell for one shilling Your ring?’ Said the Piggy, ‘I will.’So they took it away, and were married next day By the turkey who lives on the hill.They dined on mince, and slices of quince, Which they ate with a runcible spoon;And hand in hand, on the edge of the sand, They danced by the light of the moon,The moon,The moon,They danced by the light of the moon.",Read-Aloud Poetry
"With mournful moan and silken tone,Itself alone comes ONE TROMBONE.Gliding, sliding, high notes go low;ONE TROMBONE is playing SOLO.Next a TRUMPET comes along,And sings and stings its swinging song.It joins TROMBONE, no more alone,And ONE and TWO-O, they’re a DUO.The STRINGS all soar, the REEDS implore,The BRASSES roar with notes galore.It’s music that we all adore.It’s what we go to concerts for.The minutes fly, the music ends,And so, good-bye to our new friends.But when they’ve bowed and left the floor,If we clap loud and shout, “Encore!”They may come out and play once more.And that would give us great delightBefore we say a late good night.",Read-Aloud Poetry
"A tree is a plant. A tree is the biggest plant that grows. Most kinds of trees grow from seeds the way most small plants do. There are many kinds of trees. Here are a few of them. How many do you know? This tree grows in the country. It might grow in your yard, too. Do you know what kind it is? This is an apple tree.This apple tree came from a seed. The seed was small. It grew inside an apple. Have you ever seen an apple seed?Ask an adult to help you cut an apple in two. The seeds are in the center. They look like this.Most apple trees come from seeds that are planted. Sometimes an apple tree grows from a seed that falls to the ground. The wind blows leaves over the seed. The wind blows soil over the seed.All winter the seed lies under the leaves and the soil. All winter the seed lies under the ice and snow and is pushed into the ground. Spring comes. Rain falls. The sun comes out and warms the earth. The seed begins to grow.At first the young plant does not look like a tree. The tree is very small. It is only a stem with two leaves. It has no apples on it. A tree must grow up before it has apples on it. Each year the tree grows. It grows tall. In seven years it is so tall that you can stand under its branches. In the spring there are blossoms on the tree. Spring is apple-blossom time.We cannot see the roots. They are under the ground. Some of the roots are large. Some of them are as small as hairs. The roots grow like branches under the ground. A tree could not live without roots.Roots hold the trunk in the ground. Roots keep the tree from falling when the wind blows. Roots keep the rain from washing the tree out of the ground.Roots do something more. They take water from the ground. They carry the water into the trunk of the tree. The trunk carries the water to the branches. The branches carry the water to the leaves.Hundreds and hundreds of leaves grow on the branches. The leaves make food from water and air. They make food when the sun shines. The food goes into the branches. It goes into the trunk and roots. It goes to every part of the tree.Fall comes and winter is near. The work of the leaves is over. The leaves turn yellow and brown. The leaves die and fall to the ground.Now the tree is bare. All winter it looks dead. But the tree is not dead. Under its coat of bark, the tree is alive.",Infomational Text
"I can see! I see with my eyes.I can hear! I hear with my ears.I can smell! I smell with my nose.I can taste! I taste with my tongue.I can touch! I touch with my fingers.I do all this with my senses.I have five senses.When I see the sun or a frog or my baby sister, I use my sense of sight. I am seeing.When I hear a drum or a fire engine or a bird, I use my sense of hearing. I am hearing.When I smell soap or a pine tree or cookies just out of the oven, I use my sense of smell. I am smelling.When I drink my milk and eat my food, I use my sense of taste. I am tasting.When I touch a kitten or a balloon or water, I use my sense of touch. I am touching.Sometimes I use all my senses at once.Sometimes I use only one.I often play a game with myself.I guess how many senses I am using at that time.When I look at the moon and the stars, I use one sense. I am seeing.When I laugh and play with my puppy, I use four senses. I see, hear, smell, and touch.When I bounce a ball, I use three senses. I see, hear, touch.Sometimes I use more of one sense and less of another.But each sense is very important to me, because it makes me aware.To be aware is to see all there is to see…hear all there is to hear…smell all there is to smell…taste all there is to taste…touch all there is to touch.Wherever I go, whatever I do, every minute of the day, my senses are working.They make me aware.",Infomational Text
"Starfish live in the sea. Starfish live deep down in the sea. Starfish live in pools by the sea.Some starfish are purple. Some starfish are pink.This is the sunflower starfish. It is the biggest of all. Starfish have many arms. The arms are called rays. Starfish have arms, but no legs.Starfish have feet, but no toes. They glide and slide on tiny tube feet. They move as slowly as a snail.The basket star looks like a starfish, but it is a little different. It doesn’t have tube feet. It moves with its rays. It has rays that go up and rays that go down.Tiny brittle stars are like the basket star. They hide under rocks in pools by the sea.The mud star hides in the mud. It is a starfish. It has tiny tube feet.A starfish has no eyes. A starfish has no ears or nose. Its tiny mouth is on its underside. When a starfish is hungry, it slides and it glides on its tiny tube feet.It hunts for mussels and oysters and clams. It feels for the mussels, It feels for the oysters. It feels for the clams. It feels for something to eat.The starfish crawls over a clam. Its rays go over it. Its rays go under it. Its rays go all over the clam. The starfish pulls and pulls. It pulls the shells open. It eats the clam inside.Sometimes a starfish loses a ray. A crab may pull it off. A rock may fall on it. But this does not hurt. It does not bother the starfish. The starfish just grows another ray.In the spring when the sun shines warm, and the sea grows warm, starfish lay eggs. Starfish lay eggs in the water.They lay many, many, many tiny eggs. The eggs look like sand in the sea. The tiny eggs float in the water. They float up and down. They move with the waves and the tide, up and down, up and down.",Infomational Text
Not all bugs and worms are pests.Some help your garden grow.Earthworms make soil rich and healthy.This helps plants grow strong!A ladybug eats small bugs.The bugs can’t eat the plants.This keeps your garden safe.A praying mantis eats any bug it can catch.Not many bugs can get past this quick hunter!This spider catches bugs in its sticky web.It keeps bugs away from your garden.,Infomational Text
Wind is air on the move.See what wind can do.Wind can whip up some fun!Wind starts with the sun.The sun warms land and water.The air above warms up too.Warm air rises.Cooler air rushes in.That moving air is wind.Wind is energy.It can push a sailboat.Look at the windmills spin!They turn wind energy into electricity.What else can wind do?,Infomational Text
"In an apartment house, a breeze has blown a towel up into the flame of a hot stove. A fire begins. The smoke alarm screams.A phone call alerts the fire-dispatch center. Instantly, a dispatcher calls the firehouse nearest the fire.A loudspeaker blares out the address of the fire, and the firefighters go into action. They slide down brass poles to the ground floor, where the fire engines are, and hurry into their fire-fighting gear. Then they take their positions on their engines.The big trucks roar out of the firehouse. Sirens scream and lights flash.The fire engines arrive at the scene. The fire is bigger now. The fire chief is in charge. He decides the best way to fight this fire.Hoses are pulled from the trucks. Each separate fire truck is called a “company.” Each separate company has an officer in charge. The fire chief tells each officer in charge what he wants the firefighters to do.Firefighters are ordered to search the building to make sure no one is still inside. A man is trapped. A ladder tower is swung into action. The man is rescued quickly.At the same time, an aerial ladder is taking other firefighters to the floor above the fire. Inside, the firefighters attach a hose to the building’s standpipe. Water is sprayed onto the fire to keep it from moving up through the apartment house.Now the aerial ladder is swung over to the roof of the burning building. Firefighters break holes in the roof and windows to let out poisonous gases, heat, and smoke before they can cause a bad explosion. There’s less danger now for the firefighters working inside the building.Firefighters are battling the blaze from the outside of the building, too. Fire hoses carry water from the fire hydrants to the trucks.Pumps in the fire trucks control the water pressure and push the water up through the discharge hoses. Streams of water hit the burning building and buildings next door to keep the fire from spreading.The fire is under control.The fire is out. The firefighters clean up the rubble. Back at the firehouse, they clean their equipment and make an official report on the fire.",Read-Aloud Infomational Text
"After the next big rain storm, put your boots on and go outside. Look at the water dripping from your roof. Watch it gush out of the drainpipes. You can see water flowing down your street too.Water is always flowing. It trickles in the brook near your house.Sometimes you see water rushing along in a stream or in a big river.Water always flows downhill. It flows from high places to low places, just the way you and your skateboard move down a hill.Sometimes water collects in a low spot in the land – a puddle, a pond, or a lake. The water’s downhill journey may end there. Most of the time, though, the water will find a way to keep flowing downhill. Because water flows downhill, it will keep flowing until it can’t go any lower. The lowest parts of the earth are the oceans. Water will keep flowing until it reaches an ocean.Where does the water start? Where does the water in a brook or a stream or a river come from? The water comes from rain. And it comes from melting snow. The water from rain and melting snow runs over the ground. Some of it soaks into the ground, and some water is soaked up by trees and other plants. But a lot of the water keeps traveling over the ground, flowing downhill.The water runs along, flowing over the ground. Trickles of water flow together to form a brook. A brook isn’t very deep or wide. You could easily step across a brook to get to the other side.The brook flows over small stones covered with algae. Algae are tiny plants. They can be green, red, or brown.Green algae make the water look green. Plop! A frog jumps into the brook. A salamander wiggles through leafy water plants. Slap! A trout’s tail hits the water. Lots of creatures live in the moving water. ",Read-Aloud Infomational Text
